Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
L-Sit Pull-Up,Strength,Back,Pull,Advanced,Pull-Up Bar,"Perform a pull-up while holding an L-sit position, focusing on your back and core.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds back and core strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Back Lever,Strength,Full Body,Hold,Advanced,Gymnastics Rings,"Hold your body horizontally on gymnastics rings, focusing on your core and shoulders.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds core and shoulder strength.,Static.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Swing 360,Strength,Full Body,Hold,Advanced,Gymnastics Rings,"Swing your body 360 degrees on gymnastics rings, focusing on your full body strength and coordination.",Increase speed for more intensity.,Keep your core engaged.,Builds full body strength and coordination.,Dynamic.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Front Lever Pull-up,Strength,Back,Pull,Advanced,Pull-Up Bar,"Perform a pull-up while holding a front lever position, focusing on your back and core.",Hold a weight plate for added resistance.,Keep your core engaged.,Builds back and core strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Barbell Front Raise Twist,Strength,Shoulders,Lift,Intermediate,Barbell,"Raise the barbell in front of you and twist at the top, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Reverse Hack Squat,Strength,Legs,Squat,Intermediate,Hack Squat Machine,"Perform a squat on a hack squat machine while facing the machine, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Duck Walk,Strength,Legs,Walk,Intermediate,,"Walk in a squat position, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged.,Builds leg strength and coordination.,Dynamic.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Single Arm Push-up,Strength,Chest,Push,Advanced,,"Perform a push-up with one arm, focusing on your chest and triceps.",Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Shoulder Press,Strength,Shoulders,Push,Intermediate,Kettlebell,"Press the kettlebell overhead, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Trap Bar Deadlift,Strength,Legs,Lift,Intermediate,Trap Bar,"Lift the trap bar from the ground, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Zercher Squat,Strength,Legs,Squat,Intermediate,Barbell,"Squat down with a barbell in the crooks of your elbows, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Front Squat,Strength,Legs,Squat,Intermediate,Barbell,"Squat down with a barbell on the front of your shoulders, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Rollout,Strength,Core,Rollout,Advanced,Barbell,"Roll the barbell out in front of you while maintaining a plank position, focusing on your core.",Use a stability ball for less intensity.,Keep your core tight and back flat.,Builds core strength and stability.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Landmine Twist,Strength,Core,Rotation,Intermediate,Landmine,"Twist your torso while holding the landmine barbell, focusing on your obliques.",Use a resistance band for variation.,Keep your core engaged and feet stable.,Improves rotational strength and core stability.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Frog Crunch,Strength,Core,Crunch,Beginner,,"Perform a crunch with your legs in a frog position, focusing on your abs.",Increase speed for more intensity.,Keep your core tight and lower back pressed to the floor.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Ab Wheel Rollout,Strength,Core,Rollout,Advanced,Ab Wheel,"Roll the ab wheel out in front of you while maintaining a plank position, focusing on your core.",Use a stability ball for less intensity.,Keep your core tight and back flat.,Builds core strength and stability.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Wall-Supported Handstand Push-Ups,Strength,Shoulders,Push,Advanced,,"Perform push-ups while in a handstand position against a wall, focusing on your shoulders.",Use a spotter for assistance.,Keep your core tight and elbows tucked.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
High Knees Against Wall,Cardio,Full Body,Dynamic,Beginner,,"Perform high knees while leaning against a wall, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Towel Shoulder Stretch,Flexibility,Shoulders,Stretch,Beginner,Towel,"Stretch your shoulders using a towel behind your back, focusing on flexibility.",Increase stretch time for more intensity.,Keep your core engaged.,Improves shoulder flexibility.,Static.,Cool down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Hamstring Stretch,Flexibility,Hamstrings,Stretch,Beginner,,"Stretch your hamstrings by bending forward while standing, focusing on flexibility.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves hamstring flexibility.,Static.,Cool down,Stability,Hamstrings,Glutes,Hip Flexors,"Core, Lower Back"
Kettlebell Thruster,Strength,Full Body,Push,Intermediate,Kettlebell,"Squat down and press the kettlebell overhead, focusing on your full body.",Use different weights for variation.,Keep your core tight and back straight.,Builds full body strength and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
One Arm Dumbbell Snatch,Strength,Full Body,Lift,Advanced,Dumbbell,"Snatch the dumbbell overhead with one arm, focusing on your full body.",Use different weights for variation.,Keep your core tight and back straight.,Builds full body power and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Single Leg Press,Strength,Legs,Press,Intermediate,Leg Press Machine,"Press the weight with one leg on a leg press machine, focusing on your legs.",Use different weights for variation.,Keep your core engaged.,Builds leg strength and muscle balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Vertical Mountain Climber,Cardio,Full Body,Dynamic,Beginner,,"Perform mountain climbers in a vertical position, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Landmine Lunge,Strength,Legs,Lunge,Intermediate,Landmine,"Perform lunges while holding the landmine barbell, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
One-Arm Kettlebell Chest Press,Strength,Chest,Press,Intermediate,Kettlebell,"Press the kettlebell overhead with one arm, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Chest Press on the Floor,Strength,Chest,Press,Intermediate,Kettlebell,"Press the kettlebell while lying on the floor, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Weighted Seated Calf Raise,Strength,Calves,Raise,Intermediate,Weight Plate,"Raise your calves while seated with a weight plate, focusing on your calves.",Use different weights for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Soleus,Gastrocnemius,Tibialis Anterior,"Core, Lower Back"
Wide Grip Bench Press,Strength,Chest,Push,Intermediate,Barbell,"Press the barbell with a wide grip, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Decline Barbell Bench Press,Strength,Chest,Push,Intermediate,Barbell,"Press the barbell on a decline bench, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds lower chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Single Leg Extension,Strength,Legs,Extension,Intermediate,Leg Extension Machine,"Extend one leg at a time on a leg extension machine, focusing on your quads.",Use different weights for variation.,Keep your core engaged and back straight.,Builds quad strength and muscle balance.,Controlled.,Main workout,Strength,Quadriceps,,Hamstrings,"Core, Lower Back"
Smith Machine Leg Press,Strength,Legs,Press,Intermediate,Smith Machine,"Press the weight with your legs on a Smith machine, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Band Front Lateral Raise,Strength,Shoulders,Lift,Intermediate,Resistance Band,"Raise the resistance band in front of you, focusing on your shoulders.",Use different band resistances for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Barbell Hip Thrusts,Strength,Glutes,Thrust,Intermediate,Barbell,"Thrust the barbell with your hips, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Weighted Lateral Neck Flexion,Strength,Neck,Flexion,Intermediate,Weight Plate,"Flex your neck laterally with a weight plate, focusing on your neck.",Use different weights for variation.,Keep your core engaged.,Builds neck strength.,Controlled.,Main workout,Strength,Neck Flexors,,Neck Extensors,"Core, Scapular Stabilizers"
Cross Crunch,Strength,Core,Crunch,Beginner,,"Perform a crunch while crossing your body, focusing on your obliques.",Increase speed for more intensity.,Keep your core tight and lower back pressed to the floor.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Standing Cable Crunch,Strength,Core,Crunch,Intermediate,Cable Machine,"Crunch while standing with a cable, focusing on your abs.",Use different weights for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Walking,Cardio,Full Body,Dynamic,Beginner,,"Walk at a comfortable pace, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Improves cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Briskly Walking,Cardio,Full Body,Dynamic,Beginner,,"Walk briskly, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Improves cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Weighted Lying Neck Extension,Strength,Neck,Extension,Intermediate,Weight Plate,"Extend your neck while lying down with a weight plate, focusing on your neck.",Use different weights for variation.,Keep your core engaged.,Builds neck strength.,Controlled.,Main workout,Strength,Neck Extensors,,Neck Flexors,"Core, Scapular Stabilizers"
Weighted Lying Neck Flexion,Strength,Neck,Flexion,Intermediate,Weight Plate,"Flex your neck while lying down with a weight plate, focusing on your neck.",Use different weights for variation.,Keep your core engaged.,Builds neck strength.,Controlled.,Main workout,Strength,Neck Flexors,,Neck Extensors,"Core, Scapular Stabilizers"
Wrist Roller,Strength,Forearms,Roll,Intermediate,Wrist Roller,"Roll the wrist roller up and down, focusing on your forearms.",Use different weights for variation.,Keep your core engaged.,Builds forearm strength.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers"
Seated Bench Leg Pull-in,Strength,Core,Pull,Beginner,Bench,"Pull your legs in while seated on a bench, focusing on your core.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds core strength.,Controlled.,Main workout,Strength,Hip Flexors,Rectus Abdominis,Glutes,"Core, Lower Back"
Cross Body Mountain Climber,Cardio,Full Body,Dynamic,Beginner,,"Perform mountain climbers while crossing your body, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance.,Dynamic.,Warm-up,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
